,Timestamp,complete_assignments,work_hard,like_stats,feel_insecure,how_i_think,formulas,worthless,complicated_subject,training,more_employable,have_idea,communicate_ideas,not_useful,plan_to_study,get_frustrated,statistical_thinking,in_everyday_life,under_stress,enjoy_class,interested_using,conclusions_rarely_presented,quickly_learned,interested_understanding,great_discipline,no_application,make_errors,attend_class,scared_by_stats,interested_learning,massive_computations,i_can_learn,i_will_understand,irrelevant for life,highly_technical,difficult_to_understand,learn_new_thinking,do_well_in_math,good_at_math,stats_in_the_field,confident_in_mastery,is_stats_required,likely_to_choose_stats_course,major,overall_gpa,major_gpa,overall_credits,credits_this_semester,HS_completed,college_completed,degree,expected_grade,class_section,gender,citizenship,age,year_in_school,work_hours,wake_up,exercise_hours,tv_hours,social_hours,sleep_hours,first_time,political,race_ethnic,current_semester,class_format,use_tutor,can_calculate_major_gpa,know_excel,know_spss,learn_spss_excel,beneficial_to_know,why_beneficial,EMPLID3,HS_completed2
10,2015-01-29 14:08:32,7,7,7,1,1,4,1,4,4,5,1,5,2,7,1,2,5,1,6,6,1,2,7,7,1,3,7,4,7,5,7,7,1,7,2,3,5,6,3,3,Yes,2,Psychology,3.5,3.0,69,17.0,4.0,2.0,B.S.,A,LM,Female,US citizen,20,Lower Junior,0.0,7:00,,12 Hrs,5/6 Hrs,42,Yes,Other,Asian,Spring 2015,Large lecture class (more than 40 people),Yes,Yes,,,,,,,4.0
11,2015-01-29 14:30:06,7,7,4,4,4,4,1,5,6,6,4,5,1,7,6,3,4,7,5,5,2,1,6,6,3,5,7,5,6,6,6,4,2,6,5,4,6,5,5,3,Yes,2,Education,3.668,3.65,86,16.0,2.0,4.0,B.S.,B+,LM,Male,US citizen,21,Upper Junior,0.0,06:00 AM,2.0,10,4,50,Yes,Independent,Asian,Spring 2015,Large lecture class (more than 40 people),Yes,Yes,,,,,,,2.0
12,2015-01-29 14:37:25,7,7,6,4,5,4,1,6,6,7,3,6,1,7,5,1,2,3,5,7,1,3,7,7,1,3,7,6,7,2,6,6,1,4,4,5,5,5,4,4,Yes,2,Psychology,0.0,0.0,90,13.0,4.0,2.0,B.A.,B,LM,Male,US citizen,37,Post Bacc/2nd degree,10.0,6:30 AM,2.0,5,1,35,No,Democrat,White,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
13,2015-01-29 14:54:46,7,7,7,1,1,1,7,7,7,7,1,7,1,7,1,1,7,1,7,7,1,1,7,7,1,1,7,1,7,7,7,7,1,7,4,7,7,7,7,5,Yes,4,Biology,2.9,2.6,98,18.0,4.0,2.0,B.S.,A,lM3,Female,Other,23,Lower Senior,24.0,6,2.0,20,20,42,No,Other,Asian,Spring 2015,"Traditional class (in person, less than 30 people)",Yes,Yes,,,,,,,4.0
14,2015-01-29 15:01:25,7,7,5,1,1,5,1,5,6,6,1,6,1,7,1,1,6,2,6,6,2,5,6,6,1,2,7,1,6,4,7,6,1,4,1,5,5,5,5,5,Yes,5,Psychology,3.855,3.855,33,6.0,1.0,2.0,B.A.,A+,153,Male,US citizen,40,Lower Senior,20.0,6:15,,0,1,45.5,No,Other,White,Spring 2015,Fully online class,Don't know,Yes,,,,,,,1.0
15,2015-01-29 15:48:33,7,7,6,5,5,4,1,6,3,7,2,7,1,7,5,1,5,5,5,5,3,3,6,6,2,3,7,5,6,3,7,7,2,6,6,3,5,5,3,5,Yes,3,Psychology,3.7,3.7,67,16.0,4.0,1.0,B.A.,A,1,Female,US citizen,20,Lower Junior,15.0,7:30,0.0,10,6,60,Yes,Democrat,Latino/Hispanic,Spring 2015,"Hybrid class (partially online, partially in person)",Don't know,No,,,,,,,4.0
16,2015-01-29 16:35:27,7,7,5,5,5,6,1,6,7,7,6,7,1,7,2,2,5,5,4,5,3,4,7,7,1,5,7,6,7,4,7,6,2,4,6,7,5,4,6,4,Yes,6,Psychology,3.0,2.8,109,12.0,4.0,2.0,B.A.,A,LM3,Female,US citizen,20,Upper Senior,12.0,10,4.0,0,5,48,No,Other,Latino/Hispanic,Spring 2015,"Traditional class (in person, less than 30 people)",Yes,No,,,,,,,4.0
17,2015-01-29 17:02:11,7,7,6,4,5,4,2,5,5,5,1,4,2,7,4,3,7,4,5,5,3,2,6,6,2,3,7,5,6,6,6,5,1,6,3,4,5,5,5,4,Yes,5,Medicine/Pre-Medicine,3.319,3.2,99,17.0,23018631.0,2.0,B.S.,A,LM3,Female,US citizen,21,Lower Senior,0.0,6:30,,2,~2,30-38 (less when semester starts),Yes,Democrat,Asian,Spring 2015,"Hybrid class (partially online, partially in person)",Don't know,No,,,,,,,4.0
18,2015-01-29 17:33:42,7,7,4,7,4,1,1,7,4,7,4,7,1,7,7,1,4,7,4,4,1,1,4,7,1,7,7,7,4,7,4,4,6,7,4,7,5,4,6,3,Yes,1,Psychology,3.1,3.0,66,12.0,0.0,1.0,B.A.,A,76644,Female,US citizen,57,Upper Sophomore,25.0,6 :15a,30.0,10,none,25,No,Other,Black (not Latino/Hispanic),Spring 2015,"Traditional class (in person, less than 30 people)",Yes,Yes,,,,,,,0.0
19,2015-01-29 18:16:31,6,5,1,7,5,1,2,6,1,4,6,1,4,7,4,7,1,7,1,1,7,1,1,7,1,7,7,7,1,7,2,2,7,7,7,7,5,4,1,2,Yes,1,Arts/Humanities,3.7,3.88,44,9.0,4.0,2.0,M.A.,C,301.01,Female,US citizen,32,Master's Level,45.0,5:30,3.0,0,0,35,Yes,Democrat,White,Spring 2015,Fully online class,Yes,No,,,,,,,4.0
20,2015-01-29 19:01:51,7,7,7,6,6,7,1,2,7,6,1,7,1,7,2,1,5,1,7,7,1,5,7,6,6,2,7,1,7,6,7,7,1,4,2,4,6,6,6,5,No,7,Medicine/Pre-Medicine,3.37,3.38,68,13.0,4.0,4.0,B.S.,A+,LM3,Male,Other,19,Lower Junior,16.0,8,3.0,11,10,50,Yes,Other,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Don't know,Yes,,,,,,,4.0
21,2015-01-29 19:18:39,7,7,5,5,5,4,1,6,5,7,1,5,3,7,6,4,5,7,4,4,3,3,4,5,3,3,7,6,5,5,7,5,2,5,5,4,5,5,4,4,Yes,3,Psychology,2.9,3.3,55,12.0,3.0,2.0,B.A.,A,LM3,Male,US citizen,19,Lower Sophomore,0.0,7,3.0,3,5,47,Yes,Democrat,Latino/Hispanic,Spring 2015,"Traditional class (in person, less than 30 people)",Yes,No,,,,,,,3.0
22,2015-01-29 20:02:04,7,7,7,1,1,7,1,1,7,7,1,7,1,7,1,1,7,1,7,7,1,6,7,5,1,3,7,1,7,6,7,7,1,1,1,1,7,7,7,5,No,7,Biology,3.2,3.2,103,15.0,4.0,3.0,B.A.,A+,LM,Female,US citizen,21,Upper Senior,12.0,5am,5.0,3,12,40,Yes,Republican,Other,Spring 2015,Large lecture class (more than 40 people),No,Yes,,,,,,,4.0
23,2015-01-29 20:04:34,7,7,4,2,4,3,1,3,6,4,1,5,1,6,2,4,5,5,4,5,1,4,5,3,1,2,7,2,5,3,6,6,2,4,4,4,5,6,5,4,Yes,4,Psychology,3.74,3.74,15,16.0,4.0,0.0,B.A.,A-,LM2,Female,US citizen,18,Upper Freshman,8.0,9,2.0,0,10,35,No,Democrat,White,Spring 2015,"Traditional class (in person, less than 30 people)",No,No,,,,,,,4.0
24,2015-01-29 20:31:43,7,7,6,2,2,3,1,6,5,5,2,6,1,7,2,1,6,2,6,6,1,2,6,5,1,2,7,3,6,4,6,6,1,4,2,4,4,4,5,4,Yes,2,Psychology,4.0,4.0,78,12.0,8.0,2.0,B.A.,A,0,Female,US citizen,30,Post Bacc/2nd degree,20.0,6am,,0-1,2-3,49-56,Yes,Other,White,Spring 2015,Fully online class,Yes,Yes,,,,,,,8.0
25,2015-01-30 08:10:05,6,6,6,4,4,4,1,5,5,5,1,3,3,6,1,4,2,1,5,3,2,3,3,4,1,4,5,3,3,4,5,5,3,4,4,4,5,5,2,5,Yes,1,Psychology,4.0,4.0,12,10.0,5.0,1.0,B.A.,A,LM2,Female,US citizen,21,Upper Freshman,40.0,5am-12pm,5.0,5,35,40,Yes,Democrat,Other,Spring 2015,"Traditional class (in person, less than 30 people)",No,No,,,,,,,5.0
26,2015-01-30 09:10:46,7,7,4,4,3,4,2,3,7,7,1,4,2,7,4,2,5,5,5,5,3,4,5,7,2,2,7,2,5,4,7,7,2,7,2,4,7,6,2,4,Yes,5,Other,3.022,3.2,36,12.0,4.0,2.0,B.A.,A,LM,Male,US citizen,19 years young,Upper Sophomore,6.0,730,,0hours,3hours,42,Yes,Independent,Latino/Hispanic,Spring 2015,"Hybrid class (partially online, partially in person)",Yes,No,,,,,,,4.0
27,2015-01-30 11:31:15,7,7,6,2,2,6,1,4,7,7,2,7,1,7,1,2,6,2,7,7,2,6,7,7,1,2,7,5,7,7,7,6,1,7,2,3,7,6,6,5,Yes,5,Biology,3.29,3.29,111,10.0,4.0,2.0,B.S.,A+,LM,Female,Other,21,Upper Junior,0.0,5am,,15-20,25-30,35-40,No,Democrat,Asian,Spring 2015,"Hybrid class (partially online, partially in person)",Don't know,No,,,,,,,4.0
28,2015-01-30 12:21:58,7,7,5,5,5,4,2,5,5,6,2,5,4,7,2,4,5,4,5,6,4,4,7,7,3,5,7,5,7,4,7,7,3,7,4,5,4,4,4,3,Yes,5,Economic,3.0,3.2,38,16.0,4.0,1.0,B.A.,A,LM2,Female,US citizen,19,Lower Sophomore,0.0,7:00,7.0,2,32,50,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
29,2015-01-30 12:46:10,6,7,4,4,1,4,2,4,4,4,4,5,4,6,4,4,5,4,4,5,4,4,5,5,2,4,6,4,4,5,7,6,4,4,4,4,3,3,4,5,Yes,6,Psychology,2.89,3.2,62,16.0,3.0,3.0,B.A.,A,0,Male,US citizen,22,Lower Junior,20.0,6a.m.,14.0,6,5,56,Yes,Independent,Other,Spring 2015,Large lecture class (more than 40 people),Don't know,No,,,,,,,3.0
30,2015-01-30 14:28:05,7,7,4,6,5,3,2,4,4,4,6,4,4,6,6,4,1,7,4,4,4,4,4,5,4,6,7,6,5,5,5,5,4,5,5,4,4,3,4,2,Yes,4,Psychology,3.9,4.0,36,15.0,4.0,0.0,B.S.,B,LM,Female,US citizen,19,Lower Sophomore,20.0,8 AM,,2-3 hours,About 4-5 hours,Around 56 hours,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
31,2015-01-30 14:42:25,7,7,4,4,4,1,1,6,7,7,3,7,2,7,7,1,4,4,7,7,1,1,7,7,1,6,7,7,7,7,7,7,1,7,6,4,1,1,5,3,Yes,1,Other,3.2,3.2,,12.0,4.0,0.0,B.A.,B,LM3,Female,US citizen,23,Lower Sophomore,20.0,6:45,,Too much,10,35-50,Yes,Other,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
32,2015-01-30 18:30:17,6,7,6,2,2,4,2,2,4,5,4,5,1,6,2,2,4,2,5,5,2,5,5,4,2,2,5,2,5,5,5,6,1,4,2,5,6,5,5,4,Yes,5,Psychology,3.2,3.2,60,15.0,5.0,5.0,B.A.,A+,Psy 301,Female,Other,26,Lower Junior,25.0,8,2.0,0,0,48,No,Independent,Black (not Latino/Hispanic),Spring 2015,Fully online class,Don't know,No,,,,,,,5.0
33,2015-01-30 19:41:41,7,7,1,5,2,4,2,4,2,3,3,1,4,6,6,6,1,4,1,2,2,4,3,4,3,5,6,4,2,4,6,4,3,4,4,3,4,4,2,4,No,1,Other,3.9,4.0,107,13.0,3.0,1.0,B.A.,A,LM,Female,US citizen,21,Upper Senior,0.0,7:30,0.0,14,2,35,Yes,Democrat,White,Spring 2015,Large lecture class (more than 40 people),No,No,,,,,,,3.0
34,2015-01-30 20:37:25,7,7,6,4,2,4,2,5,4,6,2,4,4,7,4,4,4,4,5,5,4,1,4,4,3,2,7,4,5,4,7,5,4,4,3,4,7,7,5,5,Yes,5,Psychology,3.925,3.925,12 SPS; 120+ (Dual Associate Degree Transfer),12.0,4.0,4.0,B.S.,A+,1,Female,US citizen,26,Lower Senior,20.0,7am,5.0,5,10,56,No,Other,White,Spring 2015,Fully online class,Don't know,Yes,,,,,,,4.0
35,2015-01-30 21:02:57,7,7,5,3,3,4,4,5,6,6,2,4,2,7,4,3,1,5,4,4,4,3,5,5,2,6,7,5,5,6,7,5,3,4,4,5,6,6,7,5,Yes,5,Psychology,2.7,3.1,76,16.0,3.0,1.0,B.A.,A,LM4,Female,US citizen,23,Upper Junior,0.0,6:30,8.0,5,3,"I really don't know, but I will guess maybe 90",Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,3.0
36,2015-01-30 21:27:57,7,7,4,5,6,2,4,6,4,5,4,4,3,5,6,4,3,7,3,4,4,3,4,5,3,5,7,6,3,6,3,3,4,4,5,5,2,5,5,1,Yes,1,Psychology,2.04,2.8,38,7.0,3.0,2.0,B.A.,C,LM2,Female,US citizen,20,Upper Sophomore,0.0,11,4.0,14,4,45,Yes,Other,Black (not Latino/Hispanic),Spring 2015,Large lecture class (more than 40 people),No,No,,,,,,,3.0
37,2015-01-30 22:01:01,7,7,4,4,4,2,1,7,5,5,4,4,1,7,5,2,4,4,2,6,4,2,7,4,2,4,4,5,4,6,7,4,1,4,4,4,5,3,5,3,Yes,2,Psychology,0.0,3.2,Not sure,13.0,4.0,2.0,B.A.,A,LM4,Female,US citizen,21 (1993),Lower Freshman,4.0,7,4.0,4,4,36,Yes,Democrat,Asian,Spring 2015,Large lecture class (more than 40 people),Yes,Yes,,,,,,,4.0
38,2015-01-30 22:53:27,7,7,4,4,4,4,2,5,5,5,3,4,1,7,5,2,6,4,4,4,1,3,4,6,1,4,7,4,4,4,5,4,1,6,4,5,4,4,4,2,Yes,4,Psychology,3.1,3.1,72,13.0,5.0,1.0,B.A.,A,LM2,Female,US citizen,20,Upper Junior,15.0,7,6.0,8,12,45,No,Democrat,Asian,Spring 2015,"Hybrid class (partially online, partially in person)",Don't know,No,,,,,,,5.0
39,2015-01-31 00:23:29,7,7,6,5,7,6,1,5,6,7,2,5,4,7,1,4,3,3,6,6,4,4,6,6,1,2,7,3,7,3,5,5,1,3,2,3,5,5,5,4,Yes,6,Business,2.5,72.0,59,6.0,4.0,2.0,B.A.,A,0,Male,US citizen,21,Lower Junior,0.0,8 am,6.0,4,18,49,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Don't know,Yes,,,,,,,4.0
40,2015-01-31 10:07:31,7,7,1,7,4,1,2,7,1,1,5,1,3,7,1,7,3,7,1,1,1,1,2,7,6,7,7,7,3,7,3,4,3,7,7,6,2,1,1,1,Yes,1,Psychology,3.1,3.1,85,13.0,3.0,1.0,B.A.,C,LM,Female,US citizen,24,Lower Junior,0.0,7am,2.0,83,15,42,No,Democrat,Black (not Latino/Hispanic),Spring 2015,"Hybrid class (partially online, partially in person)",Yes,No,,,,,,,3.0
41,2015-01-31 14:26:45,7,7,4,4,4,6,1,4,7,7,4,5,1,7,4,1,7,4,4,6,1,4,7,5,1,4,7,6,7,4,7,4,1,4,5,7,3,5,7,2,Yes,6,Education,3.2,3.2,12,12.0,0.0,3.0,B.A.,A,77645,Female,US citizen,33,Upper Freshman,0.0,6am,2.0,2,0,56,No,Other,White,Spring 2015,"Traditional class (in person, less than 30 people)",Yes,No,,,,,,,0.0
42,2015-01-31 15:34:01,7,7,7,5,2,6,2,6,5,6,2,7,4,7,2,4,2,3,6,7,5,2,7,7,1,4,7,2,7,5,6,6,3,4,2,6,6,6,7,5,Yes,5,Other,3.25,3.2,75,12.0,3.0,4.0,B.A.,A,ML3,Male,US citizen,21,Upper Junior,0.0,7:30,3.0,0,1-12,56,No,Republican,Asian,Spring 2015,"Traditional class (in person, less than 30 people)",Don't know,No,,,,,,,3.0
43,2015-01-31 17:15:30,7,7,5,5,4,2,1,6,5,6,3,6,4,7,3,2,4,5,4,5,3,3,6,6,1,3,7,6,6,5,6,6,2,5,5,5,5,5,4,5,Yes,3,Psychology,4.0,4.0,102,6.0,4.0,2.0,B.A.,A,1,Female,US citizen,37,Post Bacc/2nd degree,50.0,7,,1-2,1-2,35-42hrs (5-6/night),Yes,Other,Other,Spring 2015,Fully online class,No,Yes,,,,,,,4.0
44,2015-01-31 17:46:41,7,7,5,3,3,4,1,4,7,7,1,6,2,7,4,4,1,4,4,6,4,4,7,7,1,4,7,3,7,5,7,6,2,4,4,4,4,4,5,4,Yes,7,Other,3.294,3.2,44,13.0,4.0,1.0,B.A.,A,LM2,Female,US citizen,19,Upper Sophomore,0.0,10 AM,10.0,20,18,56,Yes,Other,Latino/Hispanic,Spring 2015,"Traditional class (in person, less than 30 people)",Yes,No,,,,,,,4.0
45,2015-01-31 17:54:54,7,7,6,1,1,5,1,4,7,7,1,6,3,7,5,3,4,3,6,6,4,2,6,6,1,2,7,1,6,5,7,7,1,5,4,2,4,5,4,4,Yes,7,Business,2.6,3.2,46,13.0,4.0,2.0,B.A.,A,LM3,Male,US citizen,20,Upper Sophomore,16.0,7am,4.0,2,8,42,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Don't know,No,,,,,,,4.0
46,2015-01-31 20:31:26,7,7,5,4,5,4,1,6,5,6,4,6,1,7,6,2,4,6,6,4,1,6,4,5,2,5,7,6,4,5,6,6,2,6,6,4,3,3,4,3,Yes,2,Psychology,3.193,3.13,87,13.0,6.0,1.0,B.A.,B+,LM,Female,US citizen,22,Upper Junior,0.0,6am,5.0,28,12,42,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Don't know,Yes,,,,,,,6.0
47,2015-01-31 20:48:39,7,5,5,5,1,4,1,7,7,7,2,5,1,6,2,1,7,5,5,5,1,1,7,7,1,4,7,4,7,7,7,5,1,6,1,1,4,4,4,3,Yes,4,Psychology,3.2,3.2,170,15.0,10.0,2.0,B.A.,C+,0,Female,US citizen,,Lower Senior,20.0,8,12.0,12,5,50,Yes,Other,Other,Spring 2015,Fully online class,Don't know,Yes,,,,,,,10.0
48,2015-01-31 21:03:27,7,7,5,3,4,4,2,5,5,5,3,5,2,7,4,3,5,6,4,5,2,4,5,5,2,4,7,4,5,4,5,5,2,4,4,4,6,5,4,3,Yes,4,Psychology,4.0,4.0,90,12.0,4.0,2.0,B.A.,A,0,Female,Other,30,Upper Junior,24.0,6:00am,3.0,4,6,50,No,Democrat,Asian,Spring 2015,Fully online class,Don't know,No,,,,,,,4.0
49,2015-01-31 22:07:05,7,7,4,4,3,4,2,4,4,2,4,1,5,7,6,5,2,7,5,4,3,4,5,6,4,3,7,4,4,5,6,6,2,3,4,4,7,6,3,4,Yes,1,Psychology,3.8,3.2,45,16.0,4.0,1.0,B.A.,B+,LM2,Female,US citizen,19,Upper Sophomore,30.0,9am,5.0,10,12,42,No,Other,White,Spring 2015,Large lecture class (more than 40 people),Don't know,No,,,,,,,4.0
50,2015-01-31 22:27:09,7,7,5,5,1,6,1,4,7,6,1,6,1,7,1,7,1,4,4,7,3,2,7,4,3,4,7,5,7,3,7,7,4,7,4,4,5,5,5,5,Yes,5,Psychology,3.43,3.43,9,7.0,1.0,0.0,M.A.,A,21500 LM4,Male,Foreign student,26,Master's Level,35.0,8:00,0.0,0,5,6,Yes,Other,White,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,1.0
51,2015-01-31 23:07:46,7,7,4,5,5,4,4,6,6,6,2,5,2,7,4,3,4,6,5,5,3,1,7,7,1,5,7,6,6,6,7,7,3,5,5,5,6,5,5,5,Yes,4,Psychology,2.166,2.166,96,9.0,3.0,3.0,B.A.,B,Psy 301 (0153),Female,US citizen,22,Lower Senior,0.0,11am,0.0,40,6,42,No,Democrat,Latino/Hispanic,Spring 2015,Fully online class,Yes,No,,,,,,,3.0
52,2015-01-31 23:10:04,7,7,5,2,1,4,1,4,5,6,1,6,1,7,2,2,5,1,6,6,2,4,7,6,2,1,7,1,6,5,7,6,1,5,1,5,5,5,5,5,Yes,6,Psychology,2.8,2.8,45,13.0,4.0,1.0,B.S.,A,LM3,Female,US citizen,19,Upper Sophomore,35.0,6:45,2.0,15,30,40,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Don't know,No,,,,,,,4.0
53,2015-01-31 23:34:45,6,7,4,7,6,1,3,7,2,5,6,5,2,7,7,2,4,7,3,4,2,1,5,7,1,7,7,7,5,7,2,1,2,7,7,5,2,2,4,2,Yes,1,Psychology,3.02,3.0,90,11.0,4.0,3.0,B.A.,B+,LM2,Female,US citizen,26,Upper Junior,44.0,5:30,0.0,12,4,33,No,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
54,2015-01-31 23:59:09,7,7,5,5,4,5,3,4,4,5,3,5,4,6,3,3,5,4,3,3,2,4,5,6,3,5,7,4,5,4,6,6,3,4,3,5,3,3,6,4,Yes,4,Psychology,2.9,4.0,90,17.0,4.0,4.0,B.A.,A+,LM2,Female,US citizen,23,Upper Junior,5.0,7,5.0,10,0,49,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Don't know,No,,,,,,,4.0
55,2015-02-01 06:34:31,7,7,6,2,1,3,1,4,6,7,1,7,1,7,1,1,6,5,7,7,1,3,7,7,2,4,7,5,7,5,7,7,1,3,2,4,3,4,5,5,Yes,7,Psychology,2.4,3.2,66,13.0,4.0,3.0,B.A.,B,LM,Male,US citizen,21,Upper Junior,0.0,7,,10,10,56,Yes,Other,Asian,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
56,2015-02-01 12:47:49,7,6,5,2,1,1,1,7,7,7,2,6,1,6,1,1,6,3,4,6,1,1,7,5,1,1,7,6,7,3,7,7,1,4,2,1,6,5,7,3,Yes,1,Psychology,2.4,3.2,75,10.0,4.0,2.0,B.A.,B+,LM2,Male,Other,27,Upper Senior,20.0,8:30 am,1.0,2,3,6 to 7,Yes,Democrat,Latino/Hispanic,Spring 2015,Large lecture class (more than 40 people),Yes,No,,,,,,,4.0
